"AGATHOCLES","Cyzicenus (14.649f)","Babylonius (1.30a, 9.375f)","","","","περὶ Κυζίκου","ἐν πρώτῳ","","fr. 2","9","9.375f","","","range start"
"AGATHOCLES","Cyzicenus (14.649f)","Babylonius (1.30a, 9.375f)","","","","περὶ Κυζίκου","ἐν πρώτῳ","","fr. 2","9","9.376a","","","range end"
"AGATHOCLES","Cyzicenus (14.649f)","Babylonius (1.30a, 9.375f)","","","","περὶ Κυζίκου","ἐν τρίτῳ","","fr. 5","12","12.515a","","",""
"AGATHOCLES","Cyzicenus (14.649f)","Babylonius (1.30a, 9.375f)","","","","περὶ Κυζίκου","ἐν γʹ τῶν περὶ τῆς πατρίδος","","fr. 6","14","14.649f","","",""
"AGATHOCLES","Cyzicenus (14.649f)","Babylonius (1.30a, 9.375f)","","","","περὶ Κυζίκου","libri incerti","","fr. 4","1","1.30a","","",""
"AGATHO","","","","tragicus","","Θυέστης","","","fr. 3","12","12.528d","","",""
"AGATHO","","","","tragicus","","Τήλεφος","","","fr. 4","10","10.454d","","",""
"AGATHO","","","","tragicus","","fab. incert.","","","fr. 11","5","5.185a","","","range start"
"AGATHO","","","","tragicus","","fab. incert.","","","fr. 11","5","5.185b","","","range end"
"AGATHO","","","","tragicus","","fab. incert.","","","fr. 12","5","5.211e","","",""
"AGATHO","","","","tragicus","","fab. incert.","","","fr. 13","10","10.445c","","",""
"AGATHO","","","","tragicus","","fab. incert.","","","fr. 14","13","13.584a","","","range start"
"AGATHO","","","","tragicus","","fab. incert.","","","fr. 14","13","13.584b","","","range end"
"AGATHO","","","","tragicus","","fab. incert.","","","fr. 15","15","15.701b","","",""
"AGELOCHVS","","","","grammaticus","Ἀμφίλοχος coni","libri incerti","","","","2","2.54d","","",""
"AGIAS","Argivus (13.610c, cf. adn.)","","","","","ἐν Ἀργολικοῖς","","","fr. 1","3","3.86f","","",""
"AGIAS","Argivus (13.610c, cf. adn.)","","","","","Ἰλίου Περσὶς","","","","13","13.610c","","",""
"AGIAS","","","","ὁ μουσικός","","","","","","14","14.626f","","",""
"AGIS","","","","","","Ὀψαρτυτικά","","","","12","12.516c","","",""
"AGLAOSTHENES","Naxius","","","","","Libri incerti","","","fr. 5","3","3.78c","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","","ἐν τῷ δεκάτῳ","","fr. 43","11","11.481a","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","","ἐν τῷ ..","","fr. 41","11","11.480f","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","","ἐν τῷ ..","","fr. 41","11","11.481b","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","","ἐν τῷ ..","","fr. 41","10","10.429f","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","","ἐν τῷ ..","","fr. 41","10","10.430a","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","","ἐν τῷ ..","","fr. 41","10","10.430c","","","range start"
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","","ἐν τῷ ..","","fr. 41","10","10.430d","","","range end"
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 8","10","10.425c","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 15","14","14.627a","","","range start"
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 15","14","14.627b","","","range end"
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 20","10","10.430c","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 34","10","10.430a","","","range start"
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 34","10","10.430b","","","range end"
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 35","10","10.430b","","","range start"
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 35","10","10.430c","","","range end"
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 36","15","15.674c","","cf. 678d","range start"
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 36","15","15.674d","","cf. 678d","range end"
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 36","15","15.687d","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 39","1","1.22e","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 39","10","10.430b","","",""
"ALCAEVS","Mitylenaeus (passim)","","","ὁ μελοποιός (passim)","","sedis incertae","","","fr. 40","1","1.22f","","",""
